Date,Adj Close,Close,High,Low,Open,Volume
2023-11-16 00:00:00+00:00,572.4976807,583,583,578,581,28291435
2023-11-17 00:00:00+00:00,569.5516968,580,583,579,579,22031704
2023-11-20 00:00:00+00:00,566.6057739,577,579,575,576,22010114
2023-11-21 00:00:00+00:00,574.4616089,585,585,581,582,35921706
2023-11-22 00:00:00+00:00,566.6057739,577,579,574,576,21969125
2023-11-23 00:00:00+00:00,567.5877686,578,578,574,574,14486134
2023-11-24 00:00:00+00:00,564.6417847,575,578,574,577,10058969
2023-11-27 00:00:00+00:00,557.7678833,568,577,568,573,18528520
2023-11-28 00:00:00+00:00,564.6417847,575,576,565,565,26343906
2023-11-29 00:00:00+00:00,563.65979,574,579,570,578,24868842
2023-11-30 00:00:00+00:00,566.6057739,577,577,570,576,47192647
2023-12-01 00:00:00+00:00,568.5697632,579,579,573,573,28051165
2023-12-04 00:00:00+00:00,563.65979,574,582,571,582,26847171
2023-12-05 00:00:00+00:00,559.7318726,570,572,567,571,22229723
2023-12-06 00:00:00+00:00,559.7318726,570,575,568,568,21518089
2023-12-07 00:00:00+00:00,555.803894,566,573,566,570,20840397
2023-12-08 00:00:00+00:00,559.7318726,570,577,570,574,33507214
2023-12-11 00:00:00+00:00,563.65979,574,575,570,572,27378610
2023-12-12 00:00:00+00:00,567.5877686,578,581,575,580,29403010
2023-12-13 00:00:00+00:00,566.6057739,577,579,576,576,22977731
2023-12-14 00:00:00+00:00,574.5027466,582,582,579,581,39409958
2023-12-15 00:00:00+00:00,577.4640503,585,586,580,585,54323262
2023-12-18 00:00:00+00:00,577.4640503,585,585,577,579,26122277
2023-12-19 00:00:00+00:00,577.4640503,585,588,580,588,28254292
2023-12-20 00:00:00+00:00,577.4640503,585,587,583,587,38121456
2023-12-21 00:00:00+00:00,569.5671387,577,579,575,577,24923414
2023-12-22 00:00:00+00:00,574.5027466,582,582,579,582,18690214
2023-12-25 00:00:00+00:00,573.515625,581,585,580,582,9548143
2023-12-26 00:00:00+00:00,578.4512329,586,586,582,583,16094308
2023-12-27 00:00:00+00:00,584.3739014,592,592,586,587,33401336
2023-12-28 00:00:00+00:00,585.3610229,593,593,589,592,25514849
2023-12-29 00:00:00+00:00,585.3610229,593,593,589,589,18416318
2024-01-02 00:00:00+00:00,585.3610229,593,593,589,590,26059058
2024-01-03 00:00:00+00:00,570.5542603,578,585,576,584,37106763
2024-01-04 00:00:00+00:00,572.5284424,580,581,577,580,15309129
2024-01-05 00:00:00+00:00,568.5800171,576,580,574,578,18158971
2024-01-08 00:00:00+00:00,575.4898071,583,585,579,582,17761275
2024-01-09 00:00:00+00:00,578.4512329,586,589,583,588,22501510
2024-01-10 00:00:00+00:00,576.4769287,584,586,580,581,13037716
2024-01-11 00:00:00+00:00,578.4512329,586,589,583,586,23997409
2024-01-12 00:00:00+00:00,576.4769287,584,588,581,581,16496053
2024-01-15 00:00:00+00:00,578.4512329,586,590,585,590,21143076
2024-01-16 00:00:00+00:00,572.5284424,580,588,579,581,27223860
2024-01-17 00:00:00+00:00,573.515625,581,584,578,583,42592335
2024-01-18 00:00:00+00:00,580.425415,588,589,585,586,27209996
2024-01-19 00:00:00+00:00,617.9359131,626,627,614,625,161106401
2024-01-22 00:00:00+00:00,617.9359131,626,633,623,633,65168775
2024-01-23 00:00:00+00:00,619.9101563,628,629,622,629,41072439
2024-01-24 00:00:00+00:00,618.9230347,627,630,624,628,26635005
2024-01-25 00:00:00+00:00,633.7298584,642,642,633,635,52243347
2024-01-26 00:00:00+00:00,635.7039795,644,646,639,644,41153025
2024-01-29 00:00:00+00:00,639.6524658,648,648,644,646,27825490
2024-01-30 00:00:00+00:00,633.7298584,642,647,642,642,36161825
2024-01-31 00:00:00+00:00,619.9101563,628,637,626,634,41277950
2024-02-01 00:00:00+00:00,619.9101563,628,628,619,625,44946369
2024-02-02 00:00:00+00:00,626.8199463,635,635,628,633,26334815
2024-02-05 00:00:00+00:00,637.6782837,646,647,638,645,44017740
2024-02-15 00:00:00+00:00,688.0213013,697,709,693,709,112945296
2024-02-16 00:00:00+00:00,674.2015991,683,699,683,697,44232811
2024-02-19 00:00:00+00:00,669.2660522,678,682,674,674,34408673
2024-02-20 00:00:00+00:00,678.1500854,687,688,675,675,30166461
2024-02-21 00:00:00+00:00,672.227417,681,683,678,678,30564485
2024-02-22 00:00:00+00:00,683.0857544,692,695,685,695,33145643
